state,x,y
Acre, -325, 89
Alagoas, 275, 86
Amapa, -5, 281
Amazonas, -96, 203
Bahia, 253, 20
Brasilia, 55, -26
Ceara, 222, 171
Espirito Santo, -19, -40
Goias, 55, -16
Maranhao, 111, 163
Mato Grosso do Sul, -11, -107
Mato Grosso, -15, 23
Minas Gerais, 165, -111
Para, -19, 178
Paraiba, 282, 133
Parana, 29, -182
Piaui, 157, 120
Pernambuco, 277, 108
Rio de janeiro, 167, -160
Rio Grande do Norte, 323, 130
Rio Grande do sul, 12, -271
Rondonia, -196, 57
Roraima, -109, 267
Santa Catarina, 26, -239
Sao Paulo, 109, -168
Sergipe, 264, 72
Tocantins, 67, 69











